Date,open,high,low,close,vwap,Date
2021-01-11 07:15:00-05:00,193.03,193.03,193.03,193.03,193.0442,2021-01-11 07:15:00-05:00
2021-01-11 07:20:00-05:00,193.0,193.0,193.0,193.0,193.0028,2021-01-11 07:20:00-05:00
2021-01-11 07:50:00-05:00,193.0,193.0,192.98,192.98,192.9913,2021-01-11 07:50:00-05:00
2021-01-11 07:55:00-05:00,193.0,193.0,193.0,193.0,193.0,2021-01-11 07:55:00-05:00
2021-01-11 08:00:00-05:00,193.0,193.0,193.0,193.0,192.909,2021-01-11 08:00:00-05:00
2021-01-11 08:35:00-05:00,193.0,193.0,193.0,193.0,192.9993,2021-01-11 08:35:00-05:00
2021-01-11 08:45:00-05:00,193.25,193.25,193.25,193.25,193.25,2021-01-11 08:45:00-05:00
2021-01-11 09:00:00-05:00,192.0,192.0,192.0,192.0,192.0823,2021-01-11 09:00:00-05:00
2021-01-11 09:25:00-05:00,191.59,191.59,191.59,191.59,191.6144,2021-01-11 09:25:00-05:00
2021-01-11 09:30:00-05:00,191.56,193.04,190.31,192.88,191.5158,2021-01-11 09:30:00-05:00
2021-01-11 09:35:00-05:00,192.93,193.32,192.16,193.2668,192.6408,2021-01-11 09:35:00-05:00
2021-01-11 09:40:00-05:00,193.16,194.12,192.92,194.12,193.5711,2021-01-11 09:40:00-05:00
2021-01-11 09:45:00-05:00,194.13,194.17,193.7198,193.8459,193.9498,2021-01-11 09:45:00-05:00
2021-01-11 09:50:00-05:00,193.87,194.48,193.87,194.303,194.2108,2021-01-11 09:50:00-05:00
2021-01-11 09:55:00-05:00,194.37,194.66,194.14,194.57,194.3986,2021-01-11 09:55:00-05:00
2021-01-11 10:00:00-05:00,194.38,194.98,194.225,194.67,194.6418,2021-01-11 10:00:00-05:00
2021-01-11 10:05:00-05:00,194.64,194.7,194.21,194.47,194.4396,2021-01-11 10:05:00-05:00
2021-01-11 10:10:00-05:00,194.33,194.445,194.07,194.22,194.1649,2021-01-11 10:10:00-05:00
2021-01-11 10:15:00-05:00,194.07,194.24,193.95,194.035,194.0805,2021-01-11 10:15:00-05:00
2021-01-11 10:20:00-05:00,194.0256,194.21,193.9801,194.1,194.051,2021-01-11 10:20:00-05:00
2021-01-11 10:25:00-05:00,194.108,194.57,194.03,194.55,194.2694,2021-01-11 10:25:00-05:00
2021-01-11 10:30:00-05:00,194.54,194.98,194.48,194.85,194.7419,2021-01-11 10:30:00-05:00
2021-01-11 10:35:00-05:00,194.835,195.21,194.835,195.16,194.9921,2021-01-11 10:35:00-05:00
2021-01-11 10:40:00-05:00,195.175,195.24,194.83,194.88,195.0033,2021-01-11 10:40:00-05:00
2021-01-11 10:45:00-05:00,194.86,194.98,194.36,194.36,194.7414,2021-01-11 10:45:00-05:00
2021-01-11 10:50:00-05:00,194.31,194.5402,194.14,194.235,194.2809,2021-01-11 10:50:00-05:00
2021-01-11 10:55:00-05:00,194.29,194.73,194.1501,194.73,194.3054,2021-01-11 10:55:00-05:00
2021-01-11 11:00:00-05:00,194.6862,194.86,194.62,194.7031,194.7409,2021-01-11 11:00:00-05:00
2021-01-11 11:05:00-05:00,194.78,194.78,194.57,194.63,194.6544,2021-01-11 11:05:00-05:00
2021-01-11 11:10:00-05:00,194.615,194.66,194.19,194.495,194.4579,2021-01-11 11:10:00-05:00
2021-01-11 11:15:00-05:00,194.56,194.94,194.51,194.8925,194.7223,2021-01-11 11:15:00-05:00
2021-01-11 11:20:00-05:00,194.89,195.09,194.675,195.09,194.8865,2021-01-11 11:20:00-05:00
2021-01-11 11:25:00-05:00,195.1,195.46,195.0994,195.3725,195.2543,2021-01-11 11:25:00-05:00
2021-01-11 11:30:00-05:00,195.36,195.45,195.25,195.44,195.3737,2021-01-11 11:30:00-05:00
2021-01-11 11:35:00-05:00,195.415,195.415,195.19,195.32,195.2775,2021-01-11 11:35:00-05:00
2021-01-11 11:40:00-05:00,195.25,195.25,194.69,194.8,194.8228,2021-01-11 11:40:00-05:00
2021-01-11 11:45:00-05:00,194.78,194.95,194.47,194.5,194.639,2021-01-11 11:45:00-05:00
2021-01-11 11:50:00-05:00,194.5321,194.7586,194.5321,194.61,194.6694,2021-01-11 11:50:00-05:00
2021-01-11 11:55:00-05:00,194.62,194.68,194.215,194.215,194.4742,2021-01-11 11:55:00-05:00
2021-01-11 12:00:00-05:00,194.36,194.81,194.35,194.73,194.5445,2021-01-11 12:00:00-05:00
2021-01-11 12:05:00-05:00,194.77,194.77,194.52,194.52,194.6532,2021-01-11 12:05:00-05:00
2021-01-11 12:10:00-05:00,194.555,194.765,194.555,194.615,194.6382,2021-01-11 12:10:00-05:00
2021-01-11 12:15:00-05:00,194.6634,194.68,194.04,194.115,194.2922,2021-01-11 12:15:00-05:00
2021-01-11 12:20:00-05:00,194.16,194.24,194.0781,194.21,194.1807,2021-01-11 12:20:00-05:00
2021-01-11 12:25:00-05:00,194.21,194.34,194.13,194.295,194.209,2021-01-11 12:25:00-05:00
2021-01-11 12:30:00-05:00,194.25,194.445,194.18,194.435,194.3149,2021-01-11 12:30:00-05:00
2021-01-11 12:35:00-05:00,194.47,194.49,194.3081,194.42,194.4286,2021-01-11 12:35:00-05:00
2021-01-11 12:40:00-05:00,194.46,194.62,194.46,194.5392,194.5137,2021-01-11 12:40:00-05:00
2021-01-11 12:45:00-05:00,194.5419,194.57,194.42,194.57,194.5025,2021-01-11 12:45:00-05:00
2021-01-11 12:50:00-05:00,194.64,194.7,194.5051,194.51,194.5791,2021-01-11 12:50:00-05:00
2021-01-11 12:55:00-05:00,194.53,194.7,194.46,194.515,194.5847,2021-01-11 12:55:00-05:00
2021-01-11 13:00:00-05:00,194.46,194.515,194.37,194.46,194.4482,2021-01-11 13:00:00-05:00
2021-01-11 13:05:00-05:00,194.46,194.52,194.38,194.395,194.4649,2021-01-11 13:05:00-05:00
2021-01-11 13:10:00-05:00,194.39,194.43,194.26,194.325,194.3361,2021-01-11 13:10:00-05:00
2021-01-11 13:15:00-05:00,194.35,194.35,194.04,194.16,194.1731,2021-01-11 13:15:00-05:00
2021-01-11 13:20:00-05:00,194.1,194.22,193.91,194.15,194.0649,2021-01-11 13:20:00-05:00
2021-01-11 13:25:00-05:00,194.125,194.15,193.86,193.954,194.0081,2021-01-11 13:25:00-05:00
2021-01-11 13:30:00-05:00,193.92,194.08,193.92,193.98,194.0466,2021-01-11 13:30:00-05:00
2021-01-11 13:35:00-05:00,193.99,194.095,193.94,194.095,194.0486,2021-01-11 13:35:00-05:00
2021-01-11 13:40:00-05:00,194.03,194.09,193.72,193.72,193.8571,2021-01-11 13:40:00-05:00
2021-01-11 13:45:00-05:00,193.695,193.94,193.62,193.87,193.7757,2021-01-11 13:45:00-05:00
2021-01-11 13:50:00-05:00,193.915,194.23,193.915,194.22,194.151,2021-01-11 13:50:00-05:00
2021-01-11 13:55:00-05:00,194.22,194.305,194.14,194.24,194.2464,2021-01-11 13:55:00-05:00
2021-01-11 14:00:00-05:00,194.21,194.25,193.98,194.11,194.1014,2021-01-11 14:00:00-05:00
2021-01-11 14:05:00-05:00,194.125,194.17,193.99,194.065,194.0949,2021-01-11 14:05:00-05:00
2021-01-11 14:10:00-05:00,194.04,194.25,194.03,194.24,194.142,2021-01-11 14:10:00-05:00
2021-01-11 14:15:00-05:00,194.2309,194.244,193.98,193.985,194.0783,2021-01-11 14:15:00-05:00
2021-01-11 14:20:00-05:00,193.985,194.1288,193.77,194.03,193.9704,2021-01-11 14:20:00-05:00
2021-01-11 14:25:00-05:00,194.0001,194.05,193.83,193.8827,193.9425,2021-01-11 14:25:00-05:00
2021-01-11 14:30:00-05:00,193.89,193.97,193.7807,193.91,193.8896,2021-01-11 14:30:00-05:00
2021-01-11 14:35:00-05:00,193.89,193.94,193.83,193.92,193.887,2021-01-11 14:35:00-05:00
2021-01-11 14:40:00-05:00,193.88,194.0892,193.87,194.0892,193.9579,2021-01-11 14:40:00-05:00
2021-01-11 14:45:00-05:00,194.0341,194.245,194.03,194.24,194.1102,2021-01-11 14:45:00-05:00
2021-01-11 14:50:00-05:00,194.23,194.295,194.14,194.295,194.1912,2021-01-11 14:50:00-05:00
2021-01-11 14:55:00-05:00,194.34,194.44,194.3,194.39,194.3626,2021-01-11 14:55:00-05:00
2021-01-11 15:00:00-05:00,194.35,194.55,194.29,194.3801,194.42,2021-01-11 15:00:00-05:00
2021-01-11 15:05:00-05:00,194.44,194.465,194.12,194.17,194.361,2021-01-11 15:05:00-05:00
2021-01-11 15:10:00-05:00,194.1558,194.1679,193.9001,194.01,194.0719,2021-01-11 15:10:00-05:00
2021-01-11 15:15:00-05:00,193.99,194.16,193.863,193.9,193.9666,2021-01-11 15:15:00-05:00
2021-01-11 15:20:00-05:00,193.83,193.982,193.75,193.81,193.826,2021-01-11 15:20:00-05:00
2021-01-11 15:25:00-05:00,193.77,193.82,193.57,193.645,193.696,2021-01-11 15:25:00-05:00
2021-01-11 15:30:00-05:00,193.6453,193.7845,193.4506,193.52,193.635,2021-01-11 15:30:00-05:00
2021-01-11 15:35:00-05:00,193.505,193.7162,193.37,193.37,193.5455,2021-01-11 15:35:00-05:00
2021-01-11 15:40:00-05:00,193.39,193.765,193.33,193.7,193.5443,2021-01-11 15:40:00-05:00
2021-01-11 15:45:00-05:00,193.73,194.28,193.73,194.21,194.0297,2021-01-11 15:45:00-05:00
2021-01-11 15:50:00-05:00,194.25,194.32,193.89,193.89,194.0492,2021-01-11 15:50:00-05:00
2021-01-11 15:55:00-05:00,193.87,194.15,193.6,193.93,193.9348,2021-01-11 15:55:00-05:00
2021-01-11 16:00:00-05:00,193.86,193.86,193.86,193.86,193.86,2021-01-11 16:00:00-05:00
2021-01-11 17:20:00-05:00,193.8628,193.8628,193.8628,193.8628,193.8628,2021-01-11 17:20:00-05:00
2021-01-11 18:40:00-05:00,194.43,194.43,194.43,194.43,194.2827,2021-01-11 18:40:00-05:00
2021-01-12 07:10:00-05:00,194.46,194.46,194.46,194.46,194.46,2021-01-12 07:10:00-05:00
2021-01-12 07:15:00-05:00,194.46,194.46,194.46,194.46,194.4596,2021-01-12 07:15:00-05:00
